Repetition,Sample size,Reliability,metric,kind,category,type
9,1.0,0.3658650794125521,correlation,0.0,all,data
9,1.0,0.497153660121312,correlation,3.0,all,data
9,1.0,0.46001488459739176,correlation,7.0,all,data
9,1.0,0.5592207283057967,correlation,4.0,all,data
9,1.0,0.432135815701443,correlation,6.0,all,data
9,1.0,0.09405025868440503,MSE,all,all,data
9,1.0,0.15594974131559497,MSE,shuffled,all,data
9,1.0,0.09682539682539683,MSE,2.0,all,data
9,1.0,0.13626126126126126,MSE,5.0,all,data
9,1.0,0.08458512160228898,MSE,1.0,all,data
9,1.0,0.08620689655172414,MSE,0.0,all,data
9,1.0,0.1141025641025641,MSE,3.0,all,data
9,1.0,0.0880952380952381,MSE,7.0,all,data
9,1.0,0.10092592592592593,MSE,4.0,all,data
9,1.0,0.08114035087719298,MSE,6.0,all,data
9,1.0,-0.03150930531101337,r2,all,all,data
9,1.0,-0.6881105612239822,r2,shuffled,all,data
9,1.0,-0.0242587601078168,r2,2.0,all,data
9,1.0,-0.4589807852965744,r2,5.0,all,data
9,1.0,0.008861343503936858,r2,1.0,all,data
9,1.0,-0.8775289991907202,r2,0.0,all,data
9,1.0,0.13750629863949393,r2,3.0,all,data
9,1.0,-0.034946236559139754,r2,7.0,all,data
9,1.0,-0.047670470664678,r2,4.0,all,data
9,1.0,0.09131866227690177,r2,6.0,all,data
10,1.0,0.5001400233542448,correlation,all,all,data
10,1.0,0.1724873239278241,correlation,shuffled,all,data
10,1.0,0.46647193923641106,correlation,2.0,all,data
10,1.0,0.3628776215232034,correlation,5.0,all,data
10,1.0,0.5072427811220419,correlation,1.0,all,data
10,1.0,0.41440230300428665,correlation,0.0,all,data
10,1.0,0.526496095031347,correlation,3.0,all,data
10,1.0,0.6500000000000004,correlation,7.0,all,data
10,1.0,0.5275833720166461,correlation,4.0,all,data
10,1.0,0.5226094832392174,correlation,6.0,all,data
10,1.0,0.09728381374722839,MSE,all,all,data
10,1.0,0.16463414634146342,MSE,shuffled,all,data
10,1.0,0.10396825396825397,MSE,2.0,all,data
10,1.0,0.11599099099099099,MSE,5.0,all,data
10,1.0,0.09263233190271816,MSE,1.0,all,data
10,1.0,0.05459770114942529,MSE,0.0,all,data
10,1.0,0.11666666666666667,MSE,3.0,all,data
10,1.0,0.08095238095238096,MSE,7.0,all,data
10,1.0,0.10185185185185185,MSE,4.0,all,data
10,1.0,0.10307017543859649,MSE,6.0,all,data
10,1.0,-0.019230005334180733,r2,all,all,data
10,1.0,-0.6929583139449103,r2,shuffled,all,data
10,1.0,0.07139707259316519,r2,2.0,all,data
10,1.0,-0.17374517374517384,r2,5.0,all,data
10,1.0,-0.03700845366965688,r2,1.0,all,data
10,1.0,0.19444444444444475,r2,0.0,all,data
10,1.0,-0.0065411827526367095,r2,3.0,all,data
10,1.0,0.15966386554621836,r2,7.0,all,data
10,1.0,-0.12970711297071147,r2,4.0,all,data
10,1.0,0.04913115053960104,r2,6.0,all,data
11,1.0,0.4909944433540516,correlation,all,all,data
11,1.0,0.1613312336665177,correlation,shuffled,all,data
11,1.0,0.5532694802329229,correlation,2.0,all,data
11,1.0,0.5238871776010098,correlation,5.0,all,data
11,1.0,0.4587873525648625,correlation,1.0,all,data
11,1.0,0.341059685316323,correlation,0.0,all,data
11,1.0,0.55934527163048,correlation,3.0,all,data
11,1.0,0.5014397263796362,correlation,7.0,all,data
11,1.0,0.4504256412125238,correlation,4.0,all,data
11,1.0,0.5873303167420821,correlation,6.0,all,data
11,1.0,0.0970990391722099,MSE,all,all,data
11,1.0,0.15373244641537326,MSE,shuffled,all,data
11,1.0,0.10555555555555556,MSE,2.0,all,data
11,1.0,0.1036036036036036,MSE,5.0,all,data
11,1.0,0.09084406294706723,MSE,1.0,all,data
11,1.0,0.07758620689655173,MSE,0.0,all,data
11,1.0,0.09743589743589744,MSE,3.0,all,data
11,1.0,0.11190476190476191,MSE,7.0,all,data
11,1.0,0.11388888888888889,MSE,4.0,all,data
11,1.0,0.09868421052631579,MSE,6.0,all,data
11,1.0,-0.0574187987889796,r2,all,all,data
11,1.0,-0.6531339222510413,r2,shuffled,all,data
11,1.0,-0.09457853514118342,r2,2.0,all,data
11,1.0,-0.14392324093816655,r2,5.0,all,data
11,1.0,-0.033701668827293974,r2,1.0,all,data
11,1.0,-0.781474964005759,r2,0.0,all,data
11,1.0,-0.07823529411764696,r2,3.0,all,data
11,1.0,-0.29388514299000223,r2,7.0,all,data
11,1.0,-0.045951525345974575,r2,4.0,all,data
11,1.0,0.3093171770099886,r2,6.0,all,data
12,1.0,0.46240012013849696,correlation,all,all,data
12,1.0,0.12225203505624455,correlation,shuffled,all,data
12,1.0,0.5412169460939327,correlation,2.0,all,data
12,1.0,0.4477687594681782,correlation,5.0,all,data
12,1.0,0.4491614354109451,correlation,1.0,all,data
12,1.0,0.38695634830552655,correlation,0.0,all,data
12,1.0,0.4182181429814656,correlation,3.0,all,data
12,1.0,0.526257202235015,correlation,7.0,all,data
12,1.0,0.3969043034315748,correlation,4.0,all,data
12,1.0,0.5645377399724636,correlation,6.0,all,data
12,1.0,0.09386548410938655,MSE,all,all,data
12,1.0,0.16574279379157428,MSE,shuffled,all,data
12,1.0,0.08333333333333333,MSE,2.0,all,data
12,1.0,0.0990990990990991,MSE,5.0,all,data
12,1.0,0.0919170243204578,MSE,1.0,all,data
12,1.0,0.06609195402298851,MSE,0.0,all,data
12,1.0,0.10897435897435898,MSE,3.0,all,data
12,1.0,0.1,MSE,7.0,all,data
12,1.0,0.09444444444444444,MSE,4.0,all,data
12,1.0,0.125,MSE,6.0,all,data
12,1.0,-0.02820733904102668,r2,all,all,data
12,1.0,-0.6922579121716899,r2,shuffled,all,data
12,1.0,0.2263138317657687,r2,2.0,all,data
12,1.0,-0.25021958150348755,r2,5.0,all,data
12,1.0,-0.06875284142064797,r2,1.0,all,data
12,1.0,0.06785714285714273,r2,0.0,all,data
12,1.0,0.02022207059115444,r2,3.0,all,data
12,1.0,0.1598399695180036,r2,7.0,all,data
12,1.0,-0.24487704918032804,r2,4.0,all,data
12,1.0,0.1378446115288221,r2,6.0,all,data
13,1.0,0.4604623973358548,correlation,all,all,data
13,1.0,0.1496831723690492,correlation,shuffled,all,data
13,1.0,0.46771341271617306,correlation,2.0,all,data
13,1.0,0.5250975614029623,correlation,5.0,all,data
13,1.0,0.4634045565011961,correlation,1.0,all,data
13,1.0,0.23246338149558265,correlation,0.0,all,data
13,1.0,0.4180021066394595,correlation,3.0,all,data
13,1.0,0.4457155235914973,correlation,7.0,all,data
13,1.0,0.5052560677421709,correlation,4.0,all,data
13,1.0,0.3290139304711853,correlation,6.0,all,data
13,1.0,0.09700665188470066,MSE,all,all,data
13,1.0,0.15918329637841833,MSE,shuffled,all,data
13,1.0,0.0992063492063492,MSE,2.0,all,data
13,1.0,0.09572072072072071,MSE,5.0,all,data
13,1.0,0.08887696709585122,MSE,1.0,all,data
13,1.0,0.0603448275862069,MSE,0.0,all,data
13,1.0,0.12692307692307692,MSE,3.0,all,data
13,1.0,0.12142857142857143,MSE,7.0,all,data
13,1.0,0.11944444444444445,MSE,4.0,all,data
13,1.0,0.09429824561403509,MSE,6.0,all,data
13,1.0,-0.012080914124895425,r2,all,all,data
13,1.0,-0.6550390816905283,r2,shuffled,all,data
13,1.0,-0.10320239864949987,r2,2.0,all,data
13,1.0,0.042131979695431365,r2,5.0,all,data
13,1.0,0.023891645011418272,r2,1.0,all,data
13,1.0,-0.5828762541806025,r2,0.0,all,data
13,1.0,-0.13702623906705536,r2,3.0,all,data
13,1.0,0.1910631741140214,r2,7.0,all,data
13,1.0,-0.06874999999999987,r2,4.0,all,data
13,1.0,0.034820502178875,r2,6.0,all,data
14,1.0,0.4647218381586036,correlation,all,all,data
14,1.0,0.16409270936634554,correlation,shuffled,all,data
14,1.0,0.5486289633719409,correlation,2.0,all,data
14,1.0,0.25558666854328915,correlation,5.0,all,data
14,1.0,0.47297741064045973,correlation,1.0,all,data
14,1.0,0.23557609904420224,correlation,0.0,all,data
14,1.0,0.5008208630897534,correlation,3.0,all,data
14,1.0,0.6002908380197718,correlation,7.0,all,data
14,1.0,0.4584134972267885,correlation,4.0,all,data
14,1.0,0.45497384751552084,correlation,6.0,all,data
14,1.0,0.09571322985957133,MSE,all,all,data
14,1.0,0.15659645232815964,MSE,shuffled,all,data
14,1.0,0.11031746031746031,MSE,2.0,all,data
14,1.0,0.12274774774774774,MSE,5.0,all,data
14,1.0,0.08887696709585122,MSE,1.0,all,data
14,1.0,0.06609195402298851,MSE,0.0,all,data
14,1.0,0.09102564102564102,MSE,3.0,all,data
14,1.0,0.0880952380952381,MSE,7.0,all,data
14,1.0,0.11018518518518519,MSE,4.0,all,data
14,1.0,0.08991228070175439,MSE,6.0,all,data
14,1.0,-0.03596574521660756,r2,all,all,data
14,1.0,-0.6785146011169731,r2,shuffled,all,data
14,1.0,-0.09457853514118342,r2,2.0,all,data
14,1.0,-0.08546624756772925,r2,5.0,all,data
14,1.0,-0.025800770866560185,r2,1.0,all,data
14,1.0,-0.5914634146341464,r2,0.0,all,data
14,1.0,0.04541062801932361,r2,3.0,all,data
14,1.0,0.10555555555555585,r2,7.0,all,data
